course_id,title
GWST 300,"Methodologies in Gender, Women's, and Sexuality Studies"
GWST 321,Queer Representation in Film and TV
GWST 322,"Gender, Race, and Media"
GWST 333,Human Sexuality in Cross-Cultural Perspective
GWST 338,"Women, Gender, and Law"
GWST 340,"Women, Gender and Globalization"
GWST 352,"Women, Gender, and Information Technology"
GWST 353,Marriage and the Family
GWST 357,Psychology of Women
GWST 374,European Women's History 1200-1750
GWST 380,Women and Gender in Asia
GWST 390,Topics in Gender and Women's Studies
GWST 392,Topics in Critical Sexuality Studies
GWST 433,"Gender, Work, and Family in Cross-Cultural Perspective"
GWST 439,Women in Africa and the Diaspora
GWST 464,Studies in Women and Literature
GWST 480,Theories of Feminism
GWST 485,Sexuality and Queer Theory
GWST 495,Colloquium: Research and Activism
HAPP 100,Survey of the US Healthcare System
HAPP 200,Human Development Implications for Health and Disease
HAPP 300,Research Methods in Health
HAPP 340,Health Communication
HAPP 350,Public Health Ethics
HAPP 354,Social Bases of Public and Community Health
HAPP 380,Global Issues in Health and Disease
HAPP 401,Occupational Health Policy and Practice
HAPP 411,Health Regulation and Quality Improvement
HAPP 420,Epidemiology
HAPP 452,Health Care Organization and Delivery
HAPP 470,Health Administration and Policy Program Internship
HAPP 498,Financial Management and Decision Support for Health Service Organizations
HCST 100,The Human Context of Science and Technology
HCST 100H,Introduction to the Human Context of Science and Technology
HEBR 102,Elementary Modern Hebrew II
HIND 102,Elementary Hindi II
HIND 202,Intermediate Hindi II
HIST 101,American History to 1877
HIST 102,"American History, 1877 to the Present"
HIST 103,East-Asian Civilization
HIST 110,Western Civilization to 1700
HIST 110H,Western Civilization to 1700 - Honors
HIST 111,Western Civilization 1700 to the Present
HIST 111Y,Western Civilization 1700 to the Present
HIST 200,Themes in World History
HIST 201,Introduction to the Study of History
HIST 209,"Themes in World History: Planets and Worlds, Earth and Home"
HIST 218,Introduction to African-American History: A Survey
HIST 242,Introduction to Contemporary Africa
HIST 300,Introduction to Public History
HIST 302,History of Maryland
HIST 303,The Second World War
HIST 306,The First World War
HIST 313,America as a Great Power? U.S.Foreign Relations in the Twentieth Century
HIST 322,African American History Since 1865
HIST 328,Colonial Latin America
HIST 347,The United States Since 1945
HIST 350,History of Medicine
HIST 360,Islam in Africa
HIST 364,The Rise of Islam
HIST 374,European Women's History 1200-1750
HIST 380,Women and Gender in Asia
HIST 390,Wars in 20th Century East Asia
HIST 411,Service Learning in Public History
HIST 413,American Revolution
HIST 446,History of Science Since 1700
HIST 449,From Black Power to Black Lives Matter:
HIST 453,Ancient Greece
HIST 463,"Jews, Christians and Muslims in the Middle Ages"
HIST 468,The Age of Enlightenment
HIST 472,Victorian Britain
HIST 479,"History of China, 1912-1949"
HIST 484,German History: 1914 to the Present
HIST 486,Soviet History on Trial
HIST 496,Historical Research
HIST 497,Historical Research:
HONR 211,Great Books Seminar II
HONR 300,General Honors Seminar
HUM 121H,Introduction to the Humanities II
INDS 330,Ways of Knowing
INDS 330H,Ways of Knowing
INDS 335,Interdisciplinary Degree Plan Writing Seminar
INDS 430,Interdisciplinary Studies Seminar
INDS 480,Interdisciplinary Studies:Capstone Project Seminar
INTR 152,JHU ROTC: AS.374.102
INTR 154,JHU ROTC: AS.374.202
INTR 157,JHU ROTC: AS.374.120
INTR 158,JHU ROTC: AS.374.220
INTR 352,JHU ROTC: AS.374.302
INTR 354,JHU ROTC: AS.374.402
INTR 355,JHU ROTC: AS.374.307
INTR 357,JHU ROTC: AS.374.320
INTR 359,JHU ROTC: AS.374.420
IS 101,Introduction to Computer Based Systems
IS 125,Information Systems Logic and Structured Design
IS 147,Introduction to Computer Programming
IS 202,Systems Analysis Methods
IS 246,Topics in Programming Languages and Tools
IS 247,Computer Programming II
IS 295,Intermediate Business Applications
IS 300,Management Information Systems
IS 303,Fundamentals of Human-Computer Interaction
IS 304,Ethical Issues in Information Systems
IS 310,Software and Hardware Concepts
IS 317,Accounting Information Systems
IS 320,Advanced Business Applications
IS 325,Introduction to Management Science
IS 350,Business Communications Systems
IS 352,"Women, Gender, and Information Technology"
IS 369,Research Seminar: Writings In Information Systems
IS 410,Introduction to Database Design
IS 413,GUI Systems Using JAVA
IS 420,Database Application Development
IS 425,Decision Support Systems
IS 427,Introduction to Artificial Intelligence: Concepts and Applications
IS 430,Information Systems and Security
IS 436,Structured Systems Analysis and Design
IS 438,Project Management
IS 440,Integrating Technology into Business Processes
IS 448,Markup and Scripting Languages
IS 450,Data Communications and Networks
IS 451,Network Design and Management
IS 451M,LAN Management Using Microsoft
IS 451U,LAN Management Using Unix
IS 452,Internetworking
IS 471,Data Analytics for Cybersecurity
IS 498,Special Topics in Information Systems
JDST 201,Judaism in the Time of Jesus and Hillel
JDST 290,Topics in Judaic Studies
JDST 323,Modern Hebrew Literature
JDST 340,Origins of Antisemitism
JDST 410,Dynamics of the Arab-Israeli Conflict
JDST 463,"Jews, Christians and Muslims in the Middle Ages"
JPNS 102,Elementary Japanese II
JPNS 202,Intermediate Japanese II
JPNS 302,Advanced Japanese II
JPNS 319,Japanese Translation
KORE 102,Elementary Korean II
KORE 202,Intermediate Korean II
KORE 302,Advanced Korean II
KORE 310,Korean Language in Social and Cultural Context
LAS 121H,Introduction to the Arts II
LAS 300,Collaborative Projects in the Arts
LATN 102,Elementary Latin II
LATN 311,"Roman Poetry: Catullus, Horace"
LING 190,The World of Language I
LING 191,The World of Language II
LING 210,Introduction to Language Structures
LING 230,World Language Communities
LING 360,Sociolinguistics and Dialectology
LING 410,Language Planning
LING 470,Language and Cognition
LRC 101A,Academic Success for Lifelong Learning
LRC 105,Academic Success for Lifelong Learning
LRC 115,Advanced Diction
LRC 99,Introductory Algebra
MATH 104,Math Foundations
MATH 104Y,Quantitative Literacy
MATH 106,Algebra and Elementary Functions
MATH 120,Introduction to Contemporary Mathematics
MATH 132,Mathematics for Elementary School Teachers II
MATH 150,Precalculus Mathematics
MATH 151,Calculus and Analytic Geometry I
MATH 152,Calculus and Analytic Geometry II
MATH 155,Applied Calculus
MATH 215,Applied Finite Mathematics
MATH 221,Introduction to Linear Algebra
MATH 225,Introduction to Differential Equations
MATH 251,Multivariable Calculus
MATH 301,Introduction to Mathematical Analysis I
MATH 302,Introduction to Mathematical Analysis II
MATH 341,Computational Methods
MATH 355,Biomathematics
MATH 365,Financial Mathematics for Actuaries
MATH 385,Introduction to Mathematical Modeling
MATH 404,Introduction to Partial Differential Equations I
MATH 407,Intro to Modern Algebra & Number Theory
MATH 411,Linear Algebra
MATH 413,Number Theory
MATH 430,Matrix Analysis
MATH 475,Combinatorics and Graph Theory
MATH 481,Mathematical Modeling
MATH 486,Discrete Dynamical Systems
MCS 101,Media Literacy
MCS 222,Introduction to Media & Communication Studies
MCS 333,History and Theory of Mass Communication and Media Studies
MCS 334,Media & Globalization
MCS 355,Social Media: Networking and Mobility.
MCS 370,Special Topics in Media and Communication Studies
MCS 390,Transcultural Studies in Global Television
MCS 395,Television Production Techniques I
MCS 404,Internship
MCS 484,Media Production Fellows
MCS 499,Capstone Senior Seminar
MGMT 210,The Practice of Management
MGMT 310,Human Resource Management
MGMT 360,Business Law
MGMT 385,Business Ethics & Society
MGMT 410,Production Management
MGMT 425,Marketing
MGMT 489,Seminar in Management and Administration
MLL 190,The World of Language I
MLL 191,The World of Language II
MLL 210,Africa: Culture and Development
MLL 220,Film and Society in China
MLL 230,World Language Communities
MLL 271,Introduction to Modern Russian Civilization and Culture
MLL 280,Introduction to the Spanish-Speaking World
MLL 299,MLLI Experiential Learning
MLL 300,Selected Topics in Modern Languages and Linguistics
MLL 301,"Textual Analysis: Words, Images, Music"
MLL 305,Introduction to Intercultural Communication
MLL 315,Images of Society in Contemporary Korean Films
MLL 322,"Gender, Race, and Media"
MLL 327,Modern Japanese Culture
MLL 406,Theory and History of Intercultural Media
MLL 470,L2 Acquisition and Learning: Theory to Practice
MLL 480,Transcultural Studies in Global Television
MUSC 101,Fundamentals of Music Theory
MUSC 111,Musicianship Laboratory II
MUSC 112,Music Repertoire
MUSC 126,Theory II: Form and Analysis
MUSC 162,Diction: French
MUSC 170,Beginning Voice Class
MUSC 171,Intermediate Voice Class
MUSC 175,Intermediate Vocal Methods
MUSC 177,Keyboard Skills II
MUSC 179,Keyboard Skills IV
MUSC 180,Beginning Piano Class
MUSC 181,Intermediate Piano Class
MUSC 183,String Methods: Cello and Bass
MUSC 187,Intermediate Brass Methods
MUSC 189,Guitar Methods
MUSC 191,Recital Preparation
MUSC 211,Musicianship Laboratory IV
MUSC 214,The History of Jazz: Origins-Present
MUSC 215,Introduction to Black Music
MUSC 219,Introduction to Digital Audio Workstations
MUSC 222,Jazz Arranging
MUSC 226,Theory IV: Music Writing
MUSC 230,Musics of the World
MUSC 252,Music in Wartime
MUSC 303,UMBC Camerata--Chamber Choir
MUSC 304,UMBC Jubilee Singers
MUSC 305,UMBC Symphony Orchestra
MUSC 307,Small Ensemble
MUSC 308,UMBC Wind Ensemble
MUSC 309,UMBC New Music Ensemble
MUSC 310,Beginning Gamelan
MUSC 311,Free Composition
MUSC 312,Composition
MUSC 319,Advanced Topics in Music Technology
MUSC 320,UMBC Jazz Ensemble
MUSC 322,Music History II
MUSC 324,Small Ensemble Jazz Group
MUSC 385,Intermediate Conducting
MUSC 400,Special Projects
MUSC 416,Analog Recording Perspectives
MUSC 480,"Topics in Music, Art and Society"
NAVY 101,Sea Power and Maritime Affairs
NAVY 105,Naval Science Leadership Lab
PHED 103,Team Handball
PHED 105,Basketball
PHED 109,Jogging
PHED 111,Cardio Fitness
PHED 112,Beginning Swimming
PHED 113,Intermediate Swimming
PHED 121,Physical Fitness
PHED 123,Sports Officiating
PHED 125,Volleyball
PHED 133,Walking and Jogging
PHED 135,Softball
PHED 137,Tennis
PHED 143,Bowling -- Ten Pins
PHED 144,Soccer (outdoor)
PHED 146,Weight Training/Physical Fitness
PHED 153,Scuba
PHED 157,Advanced Open Water Scuba
PHED 160,Racquetball
PHED 162,Pom & Drill
PHED 164,Waterpolo
PHED 193,Marching and Pep Band
PHIL 100,Introduction to Philosophy
PHIL 146,Critical Thinking
PHIL 150,Contemporary Moral Issues
PHIL 152,Introduction to Moral Theory
PHIL 251,Ethical Issues in Science and Engineering
PHIL 322,History of Philosophy: Modern
PHIL 346,Deductive Logic
PHIL 353,Morality and Psychology
PHIL 372,Philosophy of Science
PHIL 380,Philosophy of Mind
PHIL 399B,Topics in Philosophy
PHIL 484,Kant's Theoretical Philosophy
PHIL 498,Advanced Topics in Philosophy
PHIL 499,Advanced Topics in Philosophy
PHYS 105,Ideas in Astronomy
PHYS 106,Introduction to Astrobiology
PHYS 111,Basic Physics I
PHYS 112,Basic Physics II
PHYS 121,Introductory Physics I
PHYS 121H,Introductory Physics I - Honors
PHYS 122,Introductory Physics II
PHYS 122H,Introductory Physics II
PHYS 122L,Introductory Physics Laboratory
PHYS 220,Introduction to Computational Physics
PHYS 224,Vibrations and Waves
PHYS 304,Fundamentals of Astronomy and Astrophysics
PHYS 320L,Electronics for Scientists
PHYS 321,Intermediate Mechanics
PHYS 324,Modern Physics
PHYS 408,Optics
PHYS 416,Extragalactic Astronomy and Cosmology
PHYS 424,Introduction to Quantum Mechanics
PHYS 431L,Modern Physics Laboratory
POLI 100,American Government and Politics
POLI 209,Selected Topics in Political Science
POLI 230,Introduction to Constitutional Law (SS)
